,MLAT,glats,glons,Year
116,65,70.35608922990075,30.377632768812244,1882
117,65,70.47793626599466,31.771919211572083,1882
118,65,70.59499198398287,33.171637454904825,1882
119,65,70.70727472672394,34.57621945707669,1882
120,65,70.81481198495342,35.985091508741434,1882
121,65,70.9176401614593,37.397676883136356,1882
122,65,71.01580429001764,38.813398506861596,1882
123,65,71.10935771195837,40.231681623161,1882
124,65,71.19836171373196,41.651956420053935,1882
125,65,71.28288512928384,43.07366059664634,1882
126,65,71.36300391140809,44.496241842447944,1882
127,65,71.43880067653465,45.91916020648748,1882
128,65,71.51036422760305,47.341890335385074,1882
129,65,71.57778905978408,48.76392356224482,1882
130,65,71.64117485383291,50.1847698311796,1882
131,65,71.7006259617902,51.60395944539638,1882
132,65,71.75625088960112,53.021044629961715,1882
133,65,71.8081617809972,54.43560090355065,1882
